image,class_name,class_id,confidence,x1,y1,x2,y2
1751812394.683000.jpg,close,264,0.7659,511.02,379.94,639.34,479.97
1751812394.683000.jpg,4,72,0.624,533.05,41.34,640.0,188.89
1751812394.710906.jpg,led,273,0.7241,892.62,248.53,992.37,433.04
1751812394.710906.jpg,1,9,0.4108,912.03,641.46,959.72,683.52
1751812394.710906.jpg,1,9,0.38,911.57,641.3,959.16,683.39
1751812394.710906.jpg,B,119,0.3078,983.75,669.71,1036.55,734.92
1751812394.887000.jpg,1,9,0.9502,303.99,196.22,437.33,323.68
1751812394.887000.jpg,2,35,0.9271,543.98,189.3,639.89,322.6
1751812394.887000.jpg,open,275,0.9157,314.09,353.93,431.77,460.65
1751812394.887000.jpg,close,264,0.8938,525.69,357.59,639.98,465.6
1751812394.887000.jpg,3,53,0.5009,288.77,0.23,441.15,151.42
1751812395.087000.jpg,1,9,0.9487,306.49,238.45,435.04,364.57
1751812395.087000.jpg,2,35,0.9439,539.65,230.86,639.99,363.98
1751812395.087000.jpg,3,53,0.8492,286.12,30.55,434.8,197.95
1751812395.087000.jpg,close,264,0.8302,523.85,394.06,639.92,480.0
1751812395.087000.jpg,4,72,0.6422,553.76,8.73,640.0,185.23
1751812395.323716.jpg,led,273,0.6884,892.12,251.83,995.45,432.98
1751812395.323716.jpg,3,53,0.252,908.39,535.77,948.12,587.95
1751812395.359000.jpg,1,9,0.9696,311.19,264.98,439.18,383.27
1751812395.359000.jpg,2,35,0.9341,541.74,260.15,639.93,384.73
1751812395.359000.jpg,4,72,0.7981,552.48,59.25,640.0,216.79
1751812395.359000.jpg,3,53,0.4094,293.06,79.63,438.34,226.12
1751812395.359000.jpg,1,9,0.3449,311.59,265.36,438.85,383.34
1751812395.359000.jpg,close,264,0.3349,529.1,412.19,639.99,480.0
1751812397.965855.jpg,led,273,0.8355,884.32,244.35,961.72,434.35
1751812397.965855.jpg,1,9,0.5322,895.6,645.94,931.09,701.57
1751812397.965855.jpg,3,53,0.4556,942.96,545.01,978.95,606.72
1751812397.965855.jpg,1,9,0.4005,895.02,645.81,930.42,702.44
1751812397.965855.jpg,2,35,0.3654,942.96,545.01,978.95,606.72
1751812397.965855.jpg,3,53,0.3477,892.86,536.55,925.75,588.66
1751812397.965855.jpg,5,85,0.2709,942.96,545.01,978.95,606.72
1751812397.965855.jpg,2,35,0.2548,936.16,447.19,970.38,500.05
1751812397.983000.jpg,2,35,0.9682,422.93,227.73,488.06,293.65
1751812397.983000.jpg,7,110,0.9575,328.85,0.0,390.27,34.76
1751812397.983000.jpg,close,264,0.9489,416.41,306.57,479.15,369.43
1751812397.983000.jpg,open,275,0.9359,325.84,291.43,376.65,348.63
1751812397.983000.jpg,5,85,0.9323,326.88,56.46,385.12,121.23
1751812397.983000.jpg,1,9,0.8922,325.94,218.5,379.93,278.26
1751812397.983000.jpg,4,72,0.6144,427.72,141.43,496.84,208.37
1751812397.983000.jpg,6,99,0.4368,432.93,45.23,505.77,117.74
1751812397.983000.jpg,3,53,0.3377,327.32,141.05,383.22,201.76
1751812400.270000.jpg,3,53,0.9198,28.92,102.42,77.05,153.54
1751812400.270000.jpg,5,85,0.9076,26.6,31.59,74.11,84.4
1751812400.270000.jpg,close,264,0.8843,114.96,241.49,162.91,290.45
1751812400.270000.jpg,open,275,0.8666,35.56,238.48,81.06,287.81
1751812400.270000.jpg,2,35,0.7881,112.87,173.31,161.0,223.36
1751812400.270000.jpg,1,9,0.6713,31.78,171.34,78.75,221.08
1751812400.270000.jpg,4,72,0.6299,110.35,101.51,160.03,154.03
1751812400.270000.jpg,led,273,0.5896,314.58,441.94,416.18,480.0
1751812400.270000.jpg,6,99,0.4876,109.54,28.13,161.34,81.87
1751812400.270000.jpg,5,85,0.3509,109.54,28.13,161.34,81.87
1751812400.270000.jpg,led,273,0.2682,352.91,441.87,414.2,479.79
1751812400.317274.jpg,1,9,0.6662,895.64,645.53,930.56,703.2
1751812400.317274.jpg,led,273,0.619,882.2,245.21,962.75,437.09
1751812400.317274.jpg,1,9,0.5628,894.21,645.37,930.73,703.47
1751812400.317274.jpg,s,276,0.3067,901.27,768.98,940.28,837.74
1751812400.339000.jpg,5,85,0.9127,26.53,31.58,74.15,84.21
1751812400.339000.jpg,close,264,0.9022,115.11,241.73,163.57,291.06
1751812400.339000.jpg,3,53,0.8993,28.96,102.37,76.88,153.54
1751812400.339000.jpg,open,275,0.8868,35.58,238.71,81.42,287.81
1751812400.339000.jpg,2,35,0.7348,112.8,173.18,160.98,223.68
1751812400.339000.jpg,4,72,0.7082,110.48,101.42,160.06,154.2
1751812400.339000.jpg,1,9,0.5696,32.12,171.44,78.56,221.53
1751812400.339000.jpg,led,273,0.4869,315.24,441.24,416.62,480.0
1751812400.339000.jpg,6,99,0.4357,109.54,28.37,160.98,81.89
1751812400.339000.jpg,5,85,0.4126,109.54,28.37,160.98,81.89
1751812400.339000.jpg,led,273,0.3368,352.76,441.5,414.6,479.78
